unique_id,building,floor,room,sensor_type,file_path
179,POLOA,6,664,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\664\pir.csv
180,POLOA,6,664,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\664\temperature.csv
181,POLOA,6,666,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\666\co2.csv
182,POLOA,6,666,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\666\humidity.csv
183,POLOA,6,666,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\666\light.csv
184,POLOA,6,666,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\666\pir.csv
185,POLOA,6,666,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\666\temperature.csv
186,POLOA,6,668,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\668\co2.csv
187,POLOA,6,668,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\668\humidity.csv
188,POLOA,6,668,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\668\light.csv
189,POLOA,6,668,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\668\pir.csv
190,POLOA,6,668,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\668\temperature.csv
191,POLOA,7,717,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\717\co2.csv
192,POLOA,7,717,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\717\humidity.csv
193,POLOA,7,717,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\717\light.csv
194,POLOA,7,717,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\717\pir.csv
195,POLOA,7,717,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\717\temperature.csv
196,POLOA,7,719,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\719\co2.csv
197,POLOA,7,719,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\719\humidity.csv
198,POLOA,7,719,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\719\light.csv
199,POLOA,7,719,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\719\pir.csv
200,POLOA,7,719,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\719\temperature.csv
201,POLOA,7,721,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\721\co2.csv
202,POLOA,7,721,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\721\humidity.csv
203,POLOA,7,721,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\721\light.csv
204,POLOA,7,721,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\721\pir.csv
205,POLOA,7,721,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\721\temperature.csv
206,POLOA,7,722,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\722\co2.csv
207,POLOA,7,722,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\7\722\humidity.csv
